subset,k,n,current_wr,oracle_wr,gap
Aka_Gha,5,1114,0.1784567235452031,0.2243949115346051,0.045938187989402024
Aka_Gha,10,1114,0.1784567235452031,0.23385849440536455,0.05540177086016146
Aka_Gha,20,1114,0.1784567235452031,0.2397552744323474,0.06129855088714431
Amh_Eth,5,462,0.11952492600436934,0.18344483393866506,0.06391990793429572
Amh_Eth,10,462,0.11952492600436934,0.19788882029535282,0.07836389429098348
Amh_Eth,20,462,0.11952492600436934,0.209322212334549,0.08979728633017967
Eng_Eth,5,564,0.3935327144479144,0.5249939486364135,0.1314612341884991
Eng_Eth,10,564,0.3935327144479144,0.5361921241808377,0.14265940973292335
Eng_Eth,20,564,0.3935327144479144,0.5464059610354891,0.15287324658757473
Eng_Gha,5,1104,0.16783093749791309,0.22057362090069632,0.052742683402783236
Eng_Gha,10,1104,0.16783093749791309,0.22857043130305946,0.06073949380514637
Eng_Gha,20,1104,0.16783093749791309,0.23641335226867022,0.06858241477075713
Eng_Ken,5,390,0.4346702917406946,0.586940126205997,0.1522698344653024
Eng_Ken,10,390,0.4346702917406946,0.6194892676543444,0.18481897591364982
Eng_Ken,20,390,0.4346702917406946,0.642869577786253,0.20819928604555837
Eng_Uga,5,1688,0.4060646907080987,0.6098821243588011,0.20381743365070237
Eng_Uga,10,1688,0.4060646907080987,0.6413749366041306,0.2353102458960319
Eng_Uga,20,1688,0.4060646907080987,0.6612561594682571,0.2551914687601584
Lug_Uga,5,846,0.37788274504540775,0.5587037257774325,0.1808209807320248
Lug_Uga,10,846,0.37788274504540775,0.590341024105592,0.21245827906018422
Lug_Uga,20,846,0.37788274504540775,0.6129271794619373,0.23504443441652956
Swa_Ken,5,518,0.4363210052101446,0.5872861874213678,0.15096518221122324
Swa_Ken,10,518,0.4363210052101446,0.6146140686085355,0.1782930633983909
Swa_Ken,20,518,0.4363210052101446,0.6328151243295901,0.19649411911944548
