idx,subset,ref,wr_9A_global_rl_heavy,wr_9A_global_balanced,wr_9A_global_rougel_heavy,wr_9B_lugswa_rl_heavy,wr_9B_lugswa_balanced,wr_9B_lugswa_rougel_heavy,wr_9C_direct_BGE_top5,wr_9C_direct_BGE_top10,wr_9C_direct_BGE_top20,wr_9_routed,wr_stage5_routed
5322,Lug_Uga,"Yee, omuwendo gw’Akawuka akaleeta Siriimu mu musaayi gw’omuntu gukola kinene mu busobozi bwe obw'oku",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5323,Lug_Uga,Eddoboozi lyo likyuka olw’obusannyalaze bw'omubiri obuba bulikolako ng’oli mu myaka gy’obuvubuka nad,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5324,Lug_Uga,"Omutindo gw'okumanyisa abantu ku Kawuka akaleeta Siriimu, okusomesa, ne kampeyini bisobola okwawukan",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5325,Lug_Uga,Embeera ekulembera okugenda mu nsonga etegeeza omugatte gw'obubonero obw'omubiri n'ebirowoozo abantu,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5326,Lug_Uga,Kiramidiya tasobola kusaasaana kuyita mu nkwatagana eya bulijjo n'abantu okugeza okugwangana mu bifu,0.1217,0.1217,0.1217,0.1217,0.1217,0.1217,0.1217,0.1217,0.1217,0.1217,0.1217
5327,Lug_Uga," Obuwangaazi bw’omuntu alina Akawuka akaleeta Siriimu bwawukana okusinziira ku nsonga ez’enjawulo, o",0.1004,0.1282,0.0936,0.74,0.74,0.74,0.0909,0.0909,0.1004,0.74,0.74
5328,Lug_Uga,"Omwaka 2024 we gwatuukidde, tewannabaawo ddagala likakasiddwa kugema kawuka akaleeta Enziku mu nsi y",0.0333,0.0333,0.0333,0.0809,0.0809,0.0809,0.0333,0.0333,0.0333,0.0809,0.0333
5329,Lug_Uga,Okuzimba n'okukuuma enkolagana ennungi kintu kikulu nnyo mu kubeera n'obulamu obumatiza. Bulijjo man,0.074,0.074,0.0965,0.74,0.74,0.74,0.0759,0.0581,0.0447,0.74,0.0965
5330,Lug_Uga,"Singa ozuulwamu Akawuka akaleeta Siriimu, osobola okuzaala abaana abatakalina! Osobola okufuna obujj",0.0936,0.1673,0.0936,0.1045,0.1045,0.1045,0.0936,0.1891,0.1891,0.1045,0.1045
5331,Lug_Uga,"Yee, kisoboka omuntu okubeera n’Akawuka akaleeta Siriimu nga tamira ddagala likaweweeza, naye kijja ",0.1148,0.1148,0.1148,0.74,0.1148,0.1148,0.1148,0.1148,0.1148,0.74,0.1148
5332,Lug_Uga,"Bw'oba okkiriza nti olwanagana n'ekizibu ky'eddoowo ly'okwegatta era ng'oyagala okukivvuunuka, kikul",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5333,Lug_Uga,"Yee, eddagala erijjanjaba Akawuka akaleeta Siriimu erimu naddala eryo eriweweeza lisobola okugezza o",0.74,0.74,0.74,0.74,0.74,0.74,0.1007,0.74,0.74,0.74,0.1093
5334,Lug_Uga,Obuwuka obuleeta Obulwadde bw'Ekikaba busobola okuleetera abantu ebizibu eby'enjawulo n'ekitundu oku,0.74,0.74,0.0943,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.1125
5335,Lug_Uga,"Kizimbibwa ku kwesiga, ekitiibwa, n’empuliziganya, ng'abaagalana bombi bawulira nga balina obukuumi ",0.0793,0.0793,0.0793,0.0302,0.0793,0.0793,0.0172,0.0172,0.0172,0.0302,0.0172
5336,Lug_Uga,Okubeera n’Obuwuka obuleeta Obulwadde bw’Ekikaba kisobola okwongera ku katyabaga k'okukwatibwa oba o,0.74,0.74,0.74,0.74,0.74,0.74,0.1659,0.1659,0.74,0.74,0.1659
5337,Lug_Uga,"Bw’oba olowooza nti mukwano gwo munyiikaavu ng'era alowooza ku ky’okwetta, kikulu nnyo okutwala embe",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.1013,0.1013,0.74,0.74
5338,Lug_Uga,Okukozesa enkola ey'okwekebera Akawuka akaleeta Siriimu/Siriimu kizingiramu emitendera gino wammanga,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044,0.1044
5339,Lug_Uga,"Nedda, okubeera omukovvu oba okuba n’ekika ky’omubiri ekimu tekirina kakwate butereevu na mbeera ya ",0.1295,0.0485,0.0485,0.1178,0.1178,0.1178,0.0485,0.1797,0.1797,0.1178,0.1295
5340,Lug_Uga,"Singa Omusujja gw'ekibumba ogwa B tegujjanjabwa, gusobola okunyiinyiitira era ne guleeta ebizibu bin",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5341,Lug_Uga,Okwaŋŋanga okukozesa ebiragalalagala kusoomooza nnyo naye waliwo emitendera gy'osobola okuyitamu oku,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.0643,0.74,0.74
5342,Lug_Uga,"Si kikyamu okugenda okwekebeza oluvannyuma lw’ekiseera ekitono, gamba nga wiiki 2, bw’oba olina enso",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
5343,Lug_Uga,"Akawuka akaleeta Siriimu kasobola okulwaza abantu ssekinnoomu ab’ebibinja by’omusaayi byonna, era te",0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74
